# HOMER Differential Peaks
# Original Peak File = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1_WT_KO_merged_peaks.txt
# Peak File Tag Directory = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1WT
# Background Tag Directory = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1KO
#
# Mode = Peaks enriched over background
# Differential peaks = 1729
# Fraction of original peaks = 1.99%
# Original number of peaks = 86750
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 4.00
# Poisson p-value cutoff = 1.00e-04
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 66
# background directory tagAdjust = 190
#
# cmd = getDifferentialPeaks /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1_WT_KO_merged_peaks.txt /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1WT /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1KO
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
Merged-chr5-114533263-1	chr5	114533184	114533342	+	0.000	0.000	14.5	2.8	5.18	1.56e-06
Merged-chr5-115071591-1	chr5	115071505	115071678	+	0.000	0.000	27.0	4.0	6.75	3.54e-14
Merged-chr5-116322759-1	chr5	116322681	116322837	+	0.000	0.000	13.5	1.2	11.25	5.66e-10
Merged-chr5-116487622-1	chr5	116487552	116487692	+	0.000	0.000	10.0	0.2	50.00	2.31e-14
Merged-chr5-117051282-1	chr5	117051211	117051353	+	0.000	0.000	8.5	1.0	8.50	1.03e-05
Merged-chr5-118914786-1	chr5	118914732	118914840	+	0.000	0.000	9.0	0.8	11.25	1.66e-07
Merged-chr5-119894955-1	chr5	119894857	119895053	+	0.000	0.000	13.0	1.4	9.29	3.49e-09
Merged-chr5-120139293-1	chr5	120139199	120139387	+	0.000	0.000	66.0	14.0	4.71	8.54e-24
Merged-chr5-121326276-1	chr5	121326205	121326347	+	0.000	0.000	17.0	2.0	8.50	5.61e-11
Merged-chr5-121798320-1	chr5	121798241	121798399	+	0.000	0.000	9.0	0.2	45.00	1.16e-12
Merged-chr5-122301874-1	chr5	122301797	122301951	+	0.000	0.000	13.0	1.0	13.00	6.37e-11
Merged-chr5-122544677-1	chr5	122544584	122544771	+	0.000	0.000	8.0	0.6	13.33	2.29e-07
Merged-chr5-123084850-1	chr5	123084782	123084919	+	0.000	0.000	10.0	1.0	10.00	1.11e-07
Merged-chr5-124512025-1	chr5	124511927	124512123	+	0.000	0.000	12.5	1.2	10.42	6.18e-09
Merged-chr5-125030838-1	chr5	125030750	125030927	+	0.000	0.000	13.0	1.6	8.12	1.65e-08
Merged-chr5-125705822-1	chr5	125705742	125705903	+	0.000	0.000	13.0	1.8	7.22	6.34e-08
Merged-chr5-126495440-1	chr5	126495360	126495521	+	0.000	0.000	6.5	0.6	10.83	3.56e-05
Merged-chr5-127596905-1	chr5	127596683	127597127	+	0.000	0.000	59.5	8.8	6.76	6.77e-29
Merged-chr5-127842310-1	chr5	127842249	127842371	+	0.000	0.000	10.0	1.8	5.56	1.94e-05
Merged-chr5-129212468-1	chr5	129212359	129212577	+	0.000	0.000	17.0	3.4	5.00	1.25e-07
Merged-chr5-129288623-1	chr5	129288542	129288704	+	0.000	0.000	14.0	3.0	4.67	3.40e-06
Merged-chr5-129524954-1	chr5	129524867	129525042	+	0.000	0.000	16.0	2.8	5.71	4.96e-08
Merged-chr5-129556114-2	chr5	129555946	129556309	+	0.000	0.000	54.5	10.0	5.45	2.41e-22
Merged-chr5-130995039-1	chr5	130994957	130995122	+	0.000	0.000	12.5	2.8	4.46	3.74e-05
Merged-chr5-131843786-1	chr5	131843712	131843861	+	0.000	0.000	28.0	6.2	4.52	1.30e-10
Merged-chr5-134142790-1	chr5	134142720	134142860	+	0.000	0.000	16.5	3.4	4.85	6.34e-07
Merged-chr5-136275504-1	chr5	136275429	136275579	+	0.000	0.000	11.5	1.0	11.50	1.01e-08
Merged-chr5-136275844-1	chr5	136275754	136275934	+	0.000	0.000	9.5	0.6	15.83	1.53e-08
Merged-chr5-136667785-1	chr5	136667710	136667860	+	0.000	0.000	11.0	2.4	4.58	4.31e-05
Merged-chr5-137179223-1	chr5	137179156	137179291	+	0.000	0.000	14.5	1.4	10.36	3.47e-10
Merged-chr5-139332976-1	chr5	139332900	139333052	+	0.000	0.000	18.5	3.2	5.78	9.47e-09
Merged-chr5-139418939-2	chr5	139418758	139419173	+	0.000	0.000	33.0	6.0	5.50	1.66e-14
Merged-chr5-140016294-1	chr5	140016238	140016351	+	0.000	0.000	14.0	1.2	11.67	4.82e-11
Merged-chr5-141837259-1	chr5	141837173	141837345	+	0.000	0.000	15.5	0.8	19.37	1.21e-14
Merged-chr5-143305080-1	chr5	143305001	143305159	+	0.000	0.000	20.0	4.4	4.55	4.71e-08
Merged-chr5-144815047-3	chr5	144814898	144815219	+	0.000	0.000	45.0	6.4	7.03	3.07e-23
Merged-chr5-146527254-1	chr5	146527139	146527369	+	0.000	0.000	6.0	0.2	30.00	7.28e-08
Merged-chr5-146629770-1	chr5	146629712	146629829	+	0.000	0.000	14.5	3.2	4.53	6.99e-06
Merged-chr5-146711824-2	chr5	146711717	146711942	+	0.000	0.000	39.0	8.6	4.53	3.21e-14
Merged-chr5-148275357-1	chr5	148275296	148275419	+	0.000	0.000	8.5	1.2	7.08	3.70e-05
Merged-chr5-149172336-1	chr5	149172230	149172442	+	0.000	0.000	16.5	2.0	8.25	4.80e-10
Merged-chr6-4069931-1	chr6	4069850	4070012	+	0.000	0.000	16.0	3.8	4.21	2.59e-06
Merged-chr6-5082228-1	chr6	5082122	5082334	+	0.000	0.000	34.5	5.4	6.39	1.44e-16
Merged-chr6-8175458-1	chr6	8175368	8175548	+	0.000	0.000	8.0	0.8	10.00	1.87e-06
Merged-chr6-11920218-1	chr6	11920139	11920297	+	0.000	0.000	10.0	1.8	5.56	1.94e-05
Merged-chr6-18394675-1	chr6	18394607	18394744	+	0.000	0.000	12.0	2.2	5.45	3.57e-06
Merged-chr6-27349455-1	chr6	27349363	27349547	+	0.000	0.000	11.5	2.2	5.23	1.98e-05
Merged-chr6-28111117-1	chr6	28111041	28111193	+	0.000	0.000	10.0	1.2	8.33	5.77e-07
Merged-chr6-29685724-1	chr6	29685627	29685821	+	0.000	0.000	27.5	4.6	5.98	8.67e-13
Merged-chr6-30705650-1	chr6	30705545	30705755	+	0.000	0.000	7.5	0.8	9.37	1.87e-05
Merged-chr6-30742754-1	chr6	30742686	30742822	+	0.000	0.000	17.0	2.6	6.54	2.77e-09
Merged-chr6-32197132-2	chr6	32196888	32197292	+	0.000	0.000	43.0	9.4	4.57	1.22e-15
Merged-chr6-32778112-1	chr6	32778036	32778189	+	0.000	0.000	15.0	2.6	5.77	1.14e-07
Merged-chr6-34124487-1	chr6	34124356	34124619	+	0.000	0.000	17.5	3.2	5.47	5.38e-08
Merged-chr6-35351055-1	chr6	35350994	35351117	+	0.000	0.000	29.5	4.6	6.41	2.23e-14
Merged-chr6-38499974-1	chr6	38499913	38500035	+	0.000	0.000	12.0	2.4	5.00	8.46e-06
Merged-chr6-39089566-1	chr6	39089483	39089649	+	0.000	0.000	8.5	1.0	8.50	1.03e-05
Merged-chr6-39104442-1	chr6	39104351	39104534	+	0.000	0.000	10.5	1.6	6.56	7.15e-06
Merged-chr6-39429833-1	chr6	39429770	39429896	+	0.000	0.000	12.0	2.2	5.45	3.57e-06
Merged-chr6-39681502-1	chr6	39681440	39681564	+	0.000	0.000	13.0	2.6	5.00	3.63e-06
Merged-chr6-42313149-1	chr6	42313092	42313206	+	0.000	0.000	13.5	3.2	4.22	3.12e-05
Merged-chr6-43093298-1	chr6	43093227	43093369	+	0.000	0.000	9.0	1.0	9.00	1.13e-06
Merged-chr6-47313411-1	chr6	47313353	47313470	+	0.000	0.000	8.0	0.6	13.33	2.29e-07
Merged-chr6-48064045-1	chr6	48063934	48064156	+	0.000	0.000	11.0	1.4	7.86	2.83e-07
Merged-chr6-48574840-1	chr6	48574771	48574910	+	0.000	0.000	22.0	2.6	8.46	1.00e-13
Merged-chr6-52462113-1	chr6	52461950	52462277	+	0.000	0.000	17.0	2.2	7.73	2.35e-10
Merged-chr6-53618091-1	chr6	53618018	53618164	+	0.000	0.000	11.0	2.2	5.00	1.98e-05
Merged-chr6-53963119-1	chr6	53963051	53963187	+	0.000	0.000	12.0	1.2	10.00	6.18e-09
Merged-chr6-55299621-1	chr6	55299547	55299696	+	0.000	0.000	41.5	9.4	4.41	2.52e-14
Merged-chr6-55468919-1	chr6	55468857	55468982	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr6-55527727-1	chr6	55527637	55527818	+	0.000	0.000	10.0	1.4	7.14	2.25e-06
Merged-chr6-55700230-1	chr6	55700096	55700365	+	0.000	0.000	13.0	3.2	4.06	3.12e-05
Merged-chr6-58879760-1	chr6	58879621	58879899	+	0.000	0.000	40.0	7.0	5.71	8.59e-18
Merged-chr6-64616990-1	chr6	64616916	64617065	+	0.000	0.000	13.0	2.6	5.00	3.63e-06
Merged-chr6-65636792-1	chr6	65636712	65636873	+	0.000	0.000	9.0	1.6	5.62	4.54e-05
Merged-chr6-70859729-1	chr6	70859673	70859786	+	0.000	0.000	12.0	2.0	6.00	1.37e-06
Merged-chr6-71076937-1	chr6	71076861	71077013	+	0.000	0.000	32.0	4.2	7.62	5.75e-18
Merged-chr6-72782168-1	chr6	72782075	72782261	+	0.000	0.000	17.0	3.0	5.67	2.17e-08
Merged-chr6-73072384-1	chr6	73072291	73072477	+	0.000	0.000	14.0	2.8	5.00	1.56e-06
Merged-chr6-73260861-1	chr6	73260766	73260956	+	0.000	0.000	41.5	6.8	6.10	5.40e-19
Merged-chr6-75238083-1	chr6	75237961	75238205	+	0.000	0.000	10.0	1.6	6.25	7.15e-06
Merged-chr6-84143298-1	chr6	84143186	84143410	+	0.000	0.000	21.5	4.4	4.89	9.76e-09
Merged-chr6-85304505-1	chr6	85304399	85304611	+	0.000	0.000	16.0	3.0	5.33	1.24e-07
Merged-chr6-85626830-1	chr6	85626760	85626901	+	0.000	0.000	12.0	1.2	10.00	6.18e-09
Merged-chr6-87950385-1	chr6	87950295	87950476	+	0.000	0.000	8.0	0.4	20.00	1.09e-08
Merged-chr6-87991375-2	chr6	87991264	87991477	+	0.000	0.000	47.0	11.4	4.12	2.68e-15
Merged-chr6-88132089-1	chr6	88131988	88132191	+	0.000	0.000	25.0	6.0	4.17	5.90e-09
Merged-chr6-88909292-1	chr6	88909201	88909384	+	0.000	0.000	33.0	8.2	4.02	5.96e-11
Merged-chr6-89660777-1	chr6	89660674	89660881	+	0.000	0.000	22.5	3.0	7.50	1.60e-12
Merged-chr6-90338789-1	chr6	90338722	90338856	+	0.000	0.000	11.0	2.0	5.50	8.31e-06
Merged-chr6-90772790-1	chr6	90772705	90772875	+	0.000	0.000	14.5	3.2	4.53	6.99e-06
Merged-chr6-90849343-1	chr6	90849265	90849422	+	0.000	0.000	8.0	0.8	10.00	1.87e-06
Merged-chr6-91069329-1	chr6	91069233	91069425	+	0.000	0.000	20.5	4.4	4.66	4.71e-08
Merged-chr6-91364220-1	chr6	91364079	91364361	+	0.000	0.000	19.0	3.2	5.94	1.58e-09
Merged-chr6-91402321-1	chr6	91402241	91402401	+	0.000	0.000	14.0	2.4	5.83	2.60e-07
Merged-chr6-92904193-1	chr6	92904080	92904306	+	0.000	0.000	21.5	5.2	4.13	1.53e-07
Merged-chr6-97791078-1	chr6	97790943	97791214	+	0.000	0.000	23.5	3.4	6.91	2.52e-12
Merged-chr6-99368237-2	chr6	99368054	99368379	+	0.000	0.000	78.0	8.0	9.75	9.14e-49
Merged-chr6-99778472-1	chr6	99778376	99778568	+	0.000	0.000	12.5	2.4	5.21	8.46e-06
Merged-chr6-103444102-1	chr6	103444046	103444158	+	0.000	0.000	17.0	3.2	5.31	5.38e-08
Merged-chr6-103444351-1	chr6	103444239	103444464	+	0.000	0.000	30.0	3.2	9.37	2.45e-19
Merged-chr6-108749351-1	chr6	108749288	108749414	+	0.000	0.000	26.0	4.8	5.42	1.28e-11
Merged-chr6-108752831-1	chr6	108752687	108752975	+	0.000	0.000	34.5	6.4	5.39	1.77e-14
Merged-chr6-113110067-1	chr6	113110013	113110121	+	0.000	0.000	11.0	2.2	5.00	1.98e-05
Merged-chr6-113670025-1	chr6	113669921	113670130	+	0.000	0.000	64.0	13.8	4.64	9.13e-23
Merged-chr6-113978276-1	chr6	113978208	113978344	+	0.000	0.000	7.0	0.2	35.00	2.08e-09
Merged-chr6-114726763-1	chr6	114726678	114726849	+	0.000	0.000	21.0	3.6	5.83	3.08e-10
Merged-chr6-115336931-1	chr6	115336838	115337025	+	0.000	0.000	16.5	3.0	5.50	1.24e-07
Merged-chr6-115881487-1	chr6	115881377	115881598	+	0.000	0.000	17.0	3.0	5.67	2.17e-08
Merged-chr6-115947814-1	chr6	115947691	115947937	+	0.000	0.000	40.5	7.2	5.62	2.18e-17
Merged-chr6-115968930-1	chr6	115968827	115969034	+	0.000	0.000	36.5	6.4	5.70	5.69e-16
Merged-chr6-117418102-1	chr6	117418026	117418179	+	0.000	0.000	5.5	0.4	13.75	5.72e-05
Merged-chr6-118044639-1	chr6	118044580	118044698	+	0.000	0.000	10.5	0.8	13.12	1.33e-08
Merged-chr6-119593250-1	chr6	119593186	119593315	+	0.000	0.000	9.5	1.6	5.94	4.54e-05
Merged-chr6-120257468-1	chr6	120257345	120257591	+	0.000	0.000	12.5	2.6	4.81	1.84e-05
Merged-chr6-125892736-1	chr6	125892658	125892814	+	0.000	0.000	8.0	1.2	6.67	3.70e-05
Merged-chr6-126569400-1	chr6	126569336	126569464	+	0.000	0.000	11.0	0.8	13.75	9.68e-10
Merged-chr6-127439860-2	chr6	127439739	127439963	+	0.000	0.000	42.5	10.4	4.09	1.48e-13
Merged-chr6-127522037-1	chr6	127521968	127522106	+	0.000	0.000	13.0	3.2	4.06	3.12e-05
Merged-chr6-127949619-1	chr6	127949527	127949711	+	0.000	0.000	21.5	5.0	4.30	8.12e-08
Merged-chr6-127972004-1	chr6	127971934	127972075	+	0.000	0.000	12.5	2.4	5.21	8.46e-06
Merged-chr6-128305364-1	chr6	128305303	128305425	+	0.000	0.000	15.0	3.4	4.41	3.03e-06
Merged-chr6-129030540-3	chr6	129030037	129030816	+	0.000	0.000	142.5	28.8	4.95	2.49e-51
Merged-chr6-133202998-1	chr6	133202936	133203061	+	0.000	0.000	13.0	1.6	8.12	1.65e-08
Merged-chr6-133406512-1	chr6	133406448	133406577	+	0.000	0.000	11.5	1.6	7.19	1.03e-06
Merged-chr6-133935134-1	chr6	133935037	133935232	+	0.000	0.000	21.0	5.2	4.04	1.53e-07
Merged-chr6-134131582-2	chr6	134131496	134131684	+	0.000	0.000	22.0	4.0	5.50	3.47e-10
Merged-chr6-135952600-1	chr6	135952530	135952670	+	0.000	0.000	11.5	2.0	5.75	8.31e-06
Merged-chr6-136603255-1	chr6	136603192	136603318	+	0.000	0.000	15.0	3.4	4.41	3.03e-06
Merged-chr6-144955135-1	chr6	144955037	144955234	+	0.000	0.000	8.0	0.6	13.33	2.29e-07
Merged-chr6-145547811-1	chr6	145547745	145547877	+	0.000	0.000	8.0	0.8	10.00	1.87e-06
Merged-chr6-146446371-1	chr6	146446186	146446557	+	0.000	0.000	34.5	7.4	4.66	9.40e-13
Merged-chr6-147351132-1	chr6	147351012	147351253	+	0.000	0.000	12.0	2.0	6.00	1.37e-06
Merged-chr6-148177717-1	chr6	148177606	148177828	+	0.000	0.000	12.0	2.4	5.00	8.46e-06
Merged-chr7-3324191-1	chr7	3324109	3324274	+	0.000	0.000	10.5	0.4	26.25	1.94e-11
Merged-chr7-5860345-1	chr7	5860230	5860460	+	0.000	0.000	10.0	1.4	7.14	2.25e-06
Merged-chr7-12651848-1	chr7	12651752	12651944	+	0.000	0.000	5.0	0.2	25.00	2.18e-06
Merged-chr7-17017231-1	chr7	17017141	17017321	+	0.000	0.000	35.5	6.2	5.73	1.29e-15
Merged-chr7-19036706-1	chr7	19036636	19036777	+	0.000	0.000	13.0	1.6	8.12	1.65e-08
Merged-chr7-23791950-1	chr7	23791858	23792043	+	0.000	0.000	18.5	2.4	7.71	1.13e-10
Merged-chr7-27281198-1	chr7	27281139	27281258	+	0.000	0.000	21.5	5.2	4.13	1.53e-07
Merged-chr7-27316216-1	chr7	27316133	27316299	+	0.000	0.000	36.0	4.8	7.50	8.52e-20
Merged-chr7-27382175-1	chr7	27382085	27382265	+	0.000	0.000	12.5	1.6	7.81	1.35e-07
Merged-chr7-28086202-1	chr7	28086140	28086265	+	0.000	0.000	10.0	1.2	8.33	5.77e-07
Merged-chr7-28629301-1	chr7	28629247	28629356	+	0.000	0.000	13.0	3.0	4.33	1.62e-05
Merged-chr7-29338377-1	chr7	29338316	29338438	+	0.000	0.000	15.0	3.2	4.69	1.47e-06
Merged-chr7-30334444-1	chr7	30334371	30334518	+	0.000	0.000	16.0	3.8	4.21	2.59e-06
Merged-chr7-36030725-1	chr7	36030522	36030928	+	0.000	0.000	48.0	7.8	6.15	2.60e-22
Merged-chr7-36221114-1	chr7	36220999	36221229	+	0.000	0.000	38.0	9.4	4.04	1.98e-12
Merged-chr7-36896417-1	chr7	36896353	36896482	+	0.000	0.000	11.0	2.4	4.58	4.31e-05
Merged-chr7-37675612-1	chr7	37675511	37675714	+	0.000	0.000	23.0	4.2	5.48	1.52e-10
Merged-chr7-38003239-1	chr7	38003165	38003313	+	0.000	0.000	28.0	6.2	4.52	1.30e-10
Merged-chr7-43296188-1	chr7	43296129	43296247	+	0.000	0.000	10.5	1.4	7.50	2.25e-06
Merged-chr7-43826056-1	chr7	43825950	43826162	+	0.000	0.000	14.5	3.2	4.53	6.99e-06
Merged-chr7-46350298-1	chr7	46350239	46350357	+	0.000	0.000	10.5	2.0	5.25	4.65e-05
Merged-chr7-46409555-1	chr7	46409436	46409674	+	0.000	0.000	30.0	4.0	7.50	9.15e-17
Merged-chr7-46626886-1	chr7	46626809	46626963	+	0.000	0.000	5.0	0.2	25.00	2.18e-06
Merged-chr7-47028786-3	chr7	47028660	47028923	+	0.000	0.000	35.0	8.0	4.37	1.69e-12
Merged-chr7-47039586-1	chr7	47039513	47039660	+	0.000	0.000	7.0	1.0	7.00	8.33e-05
Merged-chr7-49888626-1	chr7	49888562	49888691	+	0.000	0.000	7.5	0.6	12.50	3.05e-06
Merged-chr7-51512492-1	chr7	51512430	51512554	+	0.000	0.000	5.0	0.4	12.50	5.72e-05
Merged-chr7-51540915-1	chr7	51540854	51540976	+	0.000	0.000	15.0	2.8	5.36	2.87e-07
Merged-chr7-60418216-1	chr7	60418115	60418317	+	0.000	0.000	7.5	0.2	37.50	2.08e-09
Merged-chr7-63181208-1	chr7	63181123	63181294	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr7-63532474-1	chr7	63532401	63532547	+	0.000	0.000	16.0	1.6	10.00	1.97e-11
Merged-chr7-63837627-1	chr7	63837529	63837725	+	0.000	0.000	11.0	2.6	4.23	8.68e-05
Merged-chr7-63958368-1	chr7	63958289	63958448	+	0.000	0.000	18.0	4.0	4.50	2.48e-07
Merged-chr7-64967965-2	chr7	64967847	64968064	+	0.000	0.000	27.5	4.0	6.87	3.54e-14
Merged-chr7-65095796-1	chr7	65095720	65095872	+	0.000	0.000	15.0	1.2	12.50	3.84e-12
Merged-chr7-65483518-1	chr7	65483459	65483577	+	0.000	0.000	13.0	2.2	5.91	5.96e-07
Merged-chr7-66528732-1	chr7	66528669	66528795	+	0.000	0.000	12.0	1.4	8.57	3.27e-08
Merged-chr7-66726055-1	chr7	66725980	66726130	+	0.000	0.000	10.0	1.6	6.25	7.15e-06
Merged-chr7-67003004-1	chr7	67002929	67003080	+	0.000	0.000	13.0	1.8	7.22	6.34e-08
Merged-chr7-67077059-1	chr7	67076980	67077139	+	0.000	0.000	12.5	2.2	5.68	3.57e-06
Merged-chr7-67725799-1	chr7	67725696	67725902	+	0.000	0.000	13.0	2.8	4.64	7.91e-06
Merged-chr7-67750145-1	chr7	67750072	67750218	+	0.000	0.000	18.0	3.2	5.62	9.47e-09
Merged-chr7-72383337-1	chr7	72383252	72383423	+	0.000	0.000	16.0	3.8	4.21	2.59e-06
Merged-chr7-73370371-1	chr7	73370232	73370511	+	0.000	0.000	15.0	2.8	5.36	2.87e-07
Merged-chr7-75998960-1	chr7	75998895	75999025	+	0.000	0.000	11.0	1.2	9.17	6.23e-08
Merged-chr7-76433068-1	chr7	76432946	76433190	+	0.000	0.000	31.0	7.2	4.31	4.42e-11
Merged-chr7-77445876-2	chr7	77445675	77446076	+	0.000	0.000	19.5	4.0	4.87	5.16e-08
Merged-chr7-79134327-1	chr7	79134247	79134407	+	0.000	0.000	16.5	2.6	6.35	1.83e-08
Merged-chr7-79442687-1	chr7	79442625	79442749	+	0.000	0.000	15.0	2.2	6.82	1.34e-08
Merged-chr7-79459219-1	chr7	79459131	79459308	+	0.000	0.000	15.0	2.6	5.77	1.14e-07
Merged-chr7-79803006-1	chr7	79802908	79803104	+	0.000	0.000	16.0	3.0	5.33	1.24e-07
Merged-chr7-80095708-1	chr7	80095650	80095766	+	0.000	0.000	15.5	3.8	4.08	1.11e-05
Merged-chr7-80133855-1	chr7	80133723	80133987	+	0.000	0.000	19.0	1.6	11.87	1.36e-14
Merged-chr7-80430115-1	chr7	80430026	80430205	+	0.000	0.000	11.0	2.0	5.50	8.31e-06
Merged-chr7-81100583-1	chr7	81100505	81100661	+	0.000	0.000	18.5	2.2	8.41	2.85e-11
Merged-chr7-81327328-1	chr7	81327210	81327446	+	0.000	0.000	16.5	2.6	6.35	1.83e-08
Merged-chr7-81492099-1	chr7	81491932	81492267	+	0.000	0.000	10.5	1.0	10.50	1.11e-07
Merged-chr7-81504174-1	chr7	81504106	81504242	+	0.000	0.000	7.5	0.6	12.50	3.05e-06
Merged-chr7-82269228-1	chr7	82269045	82269412	+	0.000	0.000	13.5	3.0	4.50	1.62e-05
Merged-chr7-84067843-1	chr7	84067785	84067902	+	0.000	0.000	7.5	1.0	7.50	8.33e-05
Merged-chr7-87009306-1	chr7	87009207	87009406	+	0.000	0.000	9.0	0.8	11.25	1.66e-07
Merged-chr7-89135315-1	chr7	89135231	89135400	+	0.000	0.000	12.5	1.4	8.93	3.27e-08
Merged-chr7-89424867-2	chr7	89424752	89424953	+	0.000	0.000	22.0	2.2	10.00	3.73e-15
Merged-chr7-92798976-2	chr7	92798860	92799169	+	0.000	0.000	36.5	5.2	7.02	1.03e-18
Merged-chr7-93103688-1	chr7	93103601	93103775	+	0.000	0.000	16.0	1.0	16.00	1.87e-14
Merged-chr7-96964767-1	chr7	96964695	96964839	+	0.000	0.000	8.0	0.8	10.00	1.87e-06
Merged-chr7-98076938-2	chr7	98076758	98077145	+	0.000	0.000	54.5	10.4	5.24	1.35e-21
Merged-chr7-98470317-1	chr7	98470250	98470385	+	0.000	0.000	24.5	5.2	4.71	1.71e-09
Merged-chr7-100923334-1	chr7	100923277	100923392	+	0.000	0.000	13.0	2.8	4.64	7.91e-06
Merged-chr7-102742430-1	chr7	102742312	102742548	+	0.000	0.000	12.0	2.4	5.00	8.46e-06
Merged-chr7-107631840-1	chr7	107631766	107631915	+	0.000	0.000	11.0	2.2	5.00	1.98e-05
Merged-chr7-107814899-1	chr7	107814778	107815020	+	0.000	0.000	34.0	4.8	7.08	4.70e-18
Merged-chr7-109186546-1	chr7	109186490	109186603	+	0.000	0.000	23.5	5.8	4.05	5.58e-08
Merged-chr7-116558667-1	chr7	116558570	116558765	+	0.000	0.000	16.5	2.6	6.35	1.83e-08
Merged-chr7-116703413-1	chr7	116703316	116703511	+	0.000	0.000	9.5	1.2	7.92	4.86e-06
Merged-chr7-118506876-1	chr7	118506777	118506976	+	0.000	0.000	13.5	2.2	6.14	5.96e-07
Merged-chr7-120059341-1	chr7	120059274	120059408	+	0.000	0.000	10.5	0.4	26.25	1.94e-11
Merged-chr7-120272992-1	chr7	120272934	120273051	+	0.000	0.000	11.5	2.4	4.79	4.31e-05
Merged-chr7-120552563-1	chr7	120552480	120552647	+	0.000	0.000	13.5	0.8	16.87	3.97e-12
Merged-chr7-122530164-1	chr7	122530102	122530226	+	0.000	0.000	11.0	1.0	11.00	1.01e-08
Merged-chr7-124855317-1	chr7	124855230	124855405	+	0.000	0.000	31.5	5.4	5.83	3.35e-14
Merged-chr7-126558128-1	chr7	126557932	126558324	+	0.000	0.000	9.0	1.6	5.62	4.54e-05
Merged-chr7-129898475-1	chr7	129898402	129898548	+	0.000	0.000	10.5	1.8	5.83	1.94e-05
Merged-chr7-131448414-1	chr7	131448319	131448510	+	0.000	0.000	10.0	1.6	6.25	7.15e-06
Merged-chr7-131732214-1	chr7	131732132	131732296	+	0.000	0.000	14.0	2.2	6.36	9.26e-08
Merged-chr7-135064178-1	chr7	135064124	135064233	+	0.000	0.000	29.5	4.0	7.37	6.90e-16
Merged-chr7-139747136-1	chr7	139747081	139747192	+	0.000	0.000	16.0	3.4	4.71	6.34e-07
Merged-chr7-143275723-1	chr7	143275663	143275783	+	0.000	0.000	8.5	1.0	8.50	1.03e-05
Merged-chr8-3141923-1	chr8	3141832	3142015	+	0.000	0.000	13.0	1.4	9.29	3.49e-09
Merged-chr8-3606706-2	chr8	3606503	3606890	+	0.000	0.000	48.5	7.6	6.38	9.09e-23
Merged-chr8-8224079-1	chr8	8223978	8224180	+	0.000	0.000	10.0	0.8	12.50	1.33e-08
Merged-chr8-8906403-3	chr8	8906253	8906651	+	0.000	0.000	45.5	11.2	4.06	2.48e-14
Merged-chr8-10798572-2	chr8	10798364	10798762	+	0.000	0.000	34.0	4.4	7.73	3.59e-19
Merged-chr8-11040024-1	chr8	11039915	11040133	+	0.000	0.000	8.0	0.6	13.33	2.29e-07
Merged-chr8-11646631-1	chr8	11646575	11646688	+	0.000	0.000	14.5	3.0	4.83	3.40e-06
Merged-chr8-11904849-1	chr8	11904766	11904932	+	0.000	0.000	11.0	2.6	4.23	8.68e-05
Merged-chr8-11913388-1	chr8	11913320	11913456	+	0.000	0.000	11.0	2.2	5.00	1.98e-05
Merged-chr8-13258756-1	chr8	13258689	13258824	+	0.000	0.000	29.0	3.0	9.67	4.30e-19
Merged-chr8-13384746-1	chr8	13384678	13384814	+	0.000	0.000	11.0	2.2	5.00	1.98e-05
Merged-chr8-13428387-2	chr8	13428202	13428556	+	0.000	0.000	45.5	7.0	6.50	9.64e-22
Merged-chr8-14306985-5	chr8	14306722	14307366	+	0.000	0.000	17.0	3.8	4.47	5.71e-07
Merged-chr8-14529578-1	chr8	14529513	14529644	+	0.000	0.000	10.0	1.4	7.14	2.25e-06
Merged-chr8-15498969-1	chr8	15498865	15499073	+	0.000	0.000	15.5	3.2	4.84	1.47e-06
Merged-chr8-20437180-1	chr8	20437112	20437249	+	0.000	0.000	8.5	1.0	8.50	1.03e-05
Merged-chr8-20638089-2	chr8	20637833	20638281	+	0.000	0.000	4.0	0.2	20.00	5.46e-05
Merged-chr8-20822521-3	chr8	20822220	20822731	+	0.000	0.000	18.0	3.2	5.62	9.47e-09
Merged-chr8-22468326-1	chr8	22468251	22468401	+	0.000	0.000	8.0	1.2	6.67	3.70e-05
Merged-chr8-22751672-1	chr8	22751575	22751770	+	0.000	0.000	17.5	2.8	6.25	8.09e-09
